"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4774","Выбор чекбокса 'Bike'","tests","Wed Jan 01 19:04:26 MSK 2025","passed","Wed Jan 01 19:04:31 MSK 2025","","test_ultimateqa_ui_po","",""
"","4742","Проверка текста ячейки таблицы","tests","Wed Jan 01 19:04:37 MSK 2025","passed","Wed Jan 01 19:04:42 MSK 2025","","test_ultimateqa_ui_po","",""
"","44315","Ввод текста в форму","tests","Wed Jan 01 19:05:04 MSK 2025","broken","Wed Jan 01 19:05:49 MSK 2025","","test_ultimateqa_ui","",""
"","5748","Выбор автомобиля 'Audi'","tests","Wed Jan 01 19:04:31 MSK 2025","passed","Wed Jan 01 19:04:37 MSK 2025","","test_ultimateqa_ui_po","",""
"","5962","Выбор автомобиля 'Audi'","tests","Wed Jan 01 19:06:04 MSK 2025","passed","Wed Jan 01 19:06:10 MSK 2025","","test_ultimateqa_ui","",""
"","41332","Выбор радио-кнопки 'female'","tests","Wed Jan 01 19:03:44 MSK 2025","broken","Wed Jan 01 19:04:25 MSK 2025","","test_ultimateqa_ui_po","",""
"","5507","Выбор радио-кнопки 'female'","tests","Wed Jan 01 19:05:50 MSK 2025","passed","Wed Jan 01 19:05:55 MSK 2025","","test_ultimateqa_ui","",""
"","4056","Выбор чекбокса 'Bike'","tests","Wed Jan 01 19:05:59 MSK 2025","passed","Wed Jan 01 19:06:03 MSK 2025","","test_ultimateqa_ui","",""
"","14222","Клик на ссылке по относительному пути","tests","Wed Jan 01 19:04:50 MSK 2025","passed","Wed Jan 01 19:05:04 MSK 2025","","test_ultimateqa_ui","",""
"","4873","Проверка текста ячейки таблицы","tests","Wed Jan 01 19:06:11 MSK 2025","passed","Wed Jan 01 19:06:16 MSK 2025","","test_ultimateqa_ui","",""
"","6614","Клик на кнопке по атрибуту name","tests","Wed Jan 01 19:04:43 MSK 2025","passed","Wed Jan 01 19:04:49 MSK 2025","","test_ultimateqa_ui","",""
"","11287","Проверка ввода текста в форму","tests","Wed Jan 01 19:03:32 MSK 2025","passed","Wed Jan 01 19:03:43 MSK 2025","","test_ultimateqa_ui_po","",""
